NPI,LOT_TYPE,LOT,COMMIT,OPERATION,OPER_SHORT,OPER_LONG,OUT_DATE,ORDER,LAYER,PLAN,SCALED_OUT_DATE,SCALED_PLAN
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-07-28 09:46:44,6,PDI,2025-07-20 02:15:40.571428568,39.242164351851855,30.928930224867685
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-07-28 20:52:36,7,NDI,2025-07-21 17:58:31.999999997,39.70457175925926,32.5836921296296
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-02 12:44:25,8,PLY,2025-07-23 09:41:23.428571425,44.36555555555555,34.238454034391495
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",2025-08-06 08:45:48,9,PS1,2025-07-25 01:24:14.857142853,48.19984953703704,35.89321593915339
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",2025-08-09 11:04:59,10,PS2,2025-07-26 17:07:06.285714281,51.29650462962963,37.547977843915284
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",2025-08-13 15:24:01,11,NES,2025-07-28 08:49:57.714285718,55.47638888888889,39.20273974867729
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",2025-08-18 01:16:08,12,FT1,2025-07-30 00:32:49.142857146,59.88758101851852,40.857501653439186
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,13,FT2,2025-07-31 16:15:40.571428574,,42.51226355820109
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,14,FTP,2025-08-02 07:58:32.000000002,,44.16702546296298
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,15,DR5,2025-08-03 23:41:23.428571431,,45.821787367724895
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,258363,L 8xrHNUS,"L P1278  5n4p r3 HNU SED (DPR,PLY)",,16,HNU,2025-08-05 15:24:14.857142859,,47.47654927248679
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,258365,L 8xrDR6S,"L P1278  5n4p r3 DR6 SED (DPR,PLY)",,17,DR6,2025-08-07 07:07:06.285714287,,49.1313111772487
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,18,DR4,2025-08-08 22:49:57.714285715,,50.78607308201059
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,19,HNS,2025-08-10 14:32:49.142857143,,52.44083498677249
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,20,QDM,2025-08-12 06:15:40.571428571,,54.095596891534385
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,21,PB2,2025-08-13 21:58:32.000000000,,55.7503587962963
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,22,PBM,2025-08-15 13:41:23.428571428,,57.405120701058195
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,23,NBM,2025-08-17 05:24:14.857142856,,59.0598826058201
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,24,TPA,2025-08-18 21:07:06.285714284,,60.714644510581984
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,25,TPB,2025-08-20 12:49:57.714285712,,62.36940641534389
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,26,NSD,2025-08-22 04:32:49.142857140,,64.02416832010579
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,27,PSD,2025-08-23 20:15:40.571428568,,65.67893022486768
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,28,GC1,2025-08-25 11:58:31.999999997,,67.3336921296296
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,29,GC2,2025-08-27 03:41:23.428571425,,68.9884540343915
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,30,PCT,2025-08-28 19:24:14.857142853,,70.6432159391534
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,31,PCL,2025-08-30 11:07:06.285714281,,72.29797784391529
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,32,DVG,2025-09-01 02:49:57.714285709,,73.95273974867719
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,33,DVP,2025-09-02 18:32:49.142857146,,75.6075016534392
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,34,TLK,2025-09-04 10:15:40.571428574,,77.26226355820108
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,35,VCG,2025-09-06 01:58:32.000000002,,78.91702546296298
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,36,VCT,2025-09-07 17:41:23.428571431,,80.5717873677249
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,37,MT0,2025-09-09 09:24:14.857142859,,82.22654927248679
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,38,VA0,2025-09-11 01:07:06.285714287,,83.88131117724869
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,39,MT1,2025-09-12 16:49:57.714285715,,85.53607308201059
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,40,TFR,2025-09-14 08:32:49.142857143,,87.19083498677249
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,260270,L #8MT2wS,L #P1278 w DD WB DGN MT2 SED (MT1),,41,MT2,2025-09-16 00:15:40.571428571,,88.84559689153438
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,260803,L #8VA1wS,"L #P1278 w VA1 SED (MT2,MT1)",,42,VA1,2025-09-17 15:58:32.000000000,,90.5003587962963
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,265238,L #8MT3gS,L #P1278 g Drgn Apollo MT3 SED (MT2,,43,MT3,2025-09-19 07:41:23.428571428,,92.1551207010582
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,260806,L #8VA2wS,"L #P1278 w VA2 SED (MT3,MT2)",,44,VA2,2025-09-20 23:24:14.857142856,,93.80988260582009
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,265240,L #8MT4gS,L #P1278 g Drgn Apollo MT4 SED (MT3,,45,MT4,2025-09-22 15:07:06.285714284,,95.46464451058199
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,260810,L #8VA3wS,"L #P1278 w VA3 SED (MT4,MT3)",,46,VA3,2025-09-24 06:49:57.714285712,,97.1194064153439
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,47,MT5,2025-09-25 22:32:49.142857140,,98.77416832010579
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,48,VA4,2025-09-27 14:15:40.571428568,,100.42893022486767
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243912,L #86MT6 S,L #P1278.6 MT6 SED (MT5),,49,MT6,2025-09-29 05:58:31.999999997,,102.08369212962958
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243953,L #8VA5fS,"L #P1278 f VA5 SED (MT6,MT5)",,50,VA5,2025-09-30 21:41:23.428571425,,103.7384540343915
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243913,L #86MT7 S,L #P1278.6 MT7 SED (MT6),,51,MT7,2025-10-02 13:24:14.857142853,,105.3932159391534
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243954,L #8VA6fS,"L #P1278 f VA6 SED (MT7,MT6)",,52,VA6,2025-10-04 05:07:06.285714281,,107.04797784391528
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243914,L #86MT8 S,L #P1278.6  MT8 SED (MT7),,53,MT8,2025-10-05 20:49:57.714285709,,108.70273974867716
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243955,L #8VA7fS,"L #P1278 f VA7 SED (MT8,MT7)",,54,VA7,2025-10-07 12:32:49.142857137,,110.35750165343907
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243915,L #86MT9 S,L #P1278.6 MT9 SED (MT8),,55,MT9,2025-10-09 04:15:40.571428574,,112.0122635582011
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243956,L #8VA8fS,"L #P1278 f VA8 SED (MT9,MT8)",,56,VA8,2025-10-10 19:58:32.000000002,,113.66702546296298
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243916,L #86M10 S,L #P1278.6 M10 SED (MT9),,57,M10,2025-10-12 11:41:23.428571431,,115.32178736772492
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243957,L #8VA9fS,"L #P1278 f VA9 SED (M10,MT9)",,58,VA9,2025-10-14 03:24:14.857142859,,116.9765492724868
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,258787,L #8cM11dS,L #P1278c d M11 SED (M10),,59,M11,2025-10-15 19:07:06.285714287,,118.63131117724869
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243958,L #8V10fS,"L #P1278 f V10 SED (M11,M10)",,60,V10,2025-10-17 10:49:57.714285715,,120.2860730820106
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,258791,L #8cM12dS,L #P1278c d M12 SED (M11),,61,M12,2025-10-19 02:32:49.142857143,,121.9408349867725
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,243959,L #8V11fS,"L #P1278 f V11 SED (M12,M11)",,62,V11,2025-10-20 18:15:40.571428571,,123.59559689153441
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,221050,L #8cM13nS,L #P1278c n M13 SED (M12),,63,M13,2025-10-22 09:58:32.000000000,,125.2503587962963
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,248909,L #8V12fS,"L #P1278 f V12 SED (M13,M12)",,64,V12,2025-10-24 01:41:23.428571428,,126.90512070105818
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,221052,L #8cM14nS,L #P1278c n M14 SED (M13),,65,M14,2025-10-25 17:24:14.857142856,,128.5598826058201
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,221053,L #8cV13nS,"L #P1278c n V13 SED (M14,M13)",,66,V13,2025-10-27 09:07:06.285714284,,130.214644510582
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,232502,L #8BKRnkS,"L #P1278 BKR NTKey SED (DNU,DPR)",,67,BKR,2025-10-29 00:49:57.714285712,,131.8694064153439
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,257413,L #8BM0bmS,L #P1278 BM0 FSM SED (DVG) BCN LOOP,,68,BM0,2025-10-30 16:32:49.142857140,,133.5241683201058
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255739,L #8BCNnkS,L #P1278 BCN NTKey SED (BM0),,69,BCN,2025-11-01 08:15:40.571428568,,135.17893022486768
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255584,L #8BV0fS,L #P1278 FSM BV0 SED (BM0),,70,BV0,2025-11-02 23:58:31.999999997,,136.83369212962958
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,241839,L #8BM1t S,L #P1278 t BM1 SED (BM0),,71,BM1,2025-11-04 15:41:23.428571425,,138.48845403439148
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,268210,L #8bBV1dS,L #P1278 d BV1 SED (BM1),,72,BV1,2025-11-06 07:24:14.857142853,,140.14321593915338
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255488,L #8BM2bF,L #P1278b NRW BM2 SED FSM (BM1),,73,BM2,2025-11-07 23:07:06.285714281,,141.79797784391528
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255437,L #8BV2bF,L #P1278b NRW BV2 SED FSM (BM2),,74,BV2,2025-11-09 14:49:57.714285709,,143.45273974867717
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255309,L #8bBM3GS,L #P1278B BM3 MGP SED (BM2),,75,BM3,2025-11-11 06:32:49.142857137,,145.10750165343907
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255438,L #8BV3bF,L #P1278b NRW BV3 SED FSM (BM3),,76,BV3,2025-11-12 22:15:40.571428574,,146.76226355820108
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255308,L #8BM4bGS,L #P1278.1 BM4 MGP Narrow SED (BM3),,77,BM4,2025-11-14 13:58:32.000000002,,148.41702546296298
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,264467,L #8BAVf10,L #P1278.1 BAV f SED10 (BM4),,78,BAV,2025-11-16 05:41:23.428571431,,150.0717873677249
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,267014,L #8 BC1dS,L #P1278 d BC1 Narrow SED (BAV),,79,BC1,2025-11-17 21:24:14.857142859,,151.7265492724868
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,267015,L #8 BC2dS,L #P1278 d BC2 Narrow SED (BAV),,80,BC2,2025-11-19 13:07:06.285714287,,153.3813111772487
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,267016,L #8 BC3dS,L #P1278 d BC3 Narrow SED (BAV),,81,BC3,2025-11-21 04:49:57.714285715,,155.0360730820106
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,255439,L #8BV4bF,L #P1278b NRW BV4  SED FSM (BM4),,82,BV4,2025-11-22 20:32:49.142857143,,156.6908349867725
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,217326,L #81BM5bt,L #P1278.1 BM5 b SED thk res (BM4),,83,BM5,2025-11-24 12:15:40.571428571,,158.3455968915344
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,231725,L #81BLVbS,L #P1278.1 BLV b SED (BM5),,84,BLV,2025-11-26 03:58:32.000000000,,160.0003587962963
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:23,0,START,2025-07-10 03:58:23.000000000,21.00025462962963,21.00025462962963
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-16 10:51:26,1,ZRO,2025-07-11 19:06:57.285714287,27.287094907407408,22.631207010582028
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-20 10:25:31,2,NDR,2025-07-13 10:15:31.571428574,31.26909722222222,24.26215939153442
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-20 20:15:15,3,PDR,2025-07-15 01:24:05.857142853,31.67863425925926,25.893111772486726
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-23 12:44:02,4,DPR,2025-07-16 16:32:40.142857140,34.36528935185185,27.52406415343912
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-24 23:52:17,5,DNU,2025-07-18 07:41:14.428571428,35.829351851851854,29.155016534391528
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-07-28 07:15:40,6,PDI,2025-07-19 22:49:48.714285715,39.137256944444445,30.785968915343926
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-07-28 22:05:55,7,NDI,2025-07-21 13:58:23.000000002,39.75548611111111,32.416921296296316
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-01 12:05:16,8,PLY,2025-07-23 05:06:57.285714281,43.338368055555556,34.04787367724862
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",2025-08-05 01:01:08,9,PS1,2025-07-24 20:15:31.571428568,46.87716435185185,35.67882605820102
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",2025-08-08 03:49:54,10,PS2,2025-07-26 11:24:05.857142856,49.994363425925926,37.309778439153426
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",2025-08-13 10:51:39,11,NES,2025-07-28 02:32:40.142857143,55.28724537037037,38.94073082010583
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",2025-08-17 23:49:17,12,FT1,2025-07-29 17:41:14.428571431,59.827268518518515,40.57168320105823
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,13,FT2,2025-07-31 08:49:48.714285718,,42.20263558201062
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,14,FTP,2025-08-01 23:58:22.999999997,,43.83358796296293
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,22,PBM,2025-08-15 01:06:57.285714287,,56.88120701058203
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,23,NBM,2025-08-16 16:15:31.571428574,,58.51215939153442
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,24,TPA,2025-08-18 07:24:05.857142853,,60.14311177248672
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,25,TPB,2025-08-19 22:32:40.142857140,,61.77406415343912
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,26,NSD,2025-08-21 13:41:14.428571428,,63.40501653439153
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,27,PSD,2025-08-23 04:49:48.714285715,,65.03596891534391
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,28,GC1,2025-08-24 19:58:23.000000002,,66.66692129629632
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,29,GC2,2025-08-26 11:06:57.285714281,,68.29787367724862
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,30,PCT,2025-08-28 02:15:31.571428568,,69.92882605820103
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,31,PCL,2025-08-29 17:24:05.857142856,,71.55977843915343
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,32,DVG,2025-08-31 08:32:40.142857143,,73.19073082010581
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,33,DVP,2025-09-01 23:41:14.428571431,,74.82168320105824
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,34,TLK,2025-09-03 14:49:48.714285709,,76.45263558201052
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,35,VCG,2025-09-05 05:58:22.999999997,,78.08358796296294
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,36,VCT,2025-09-06 21:06:57.285714284,,79.71454034391532
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,37,MT0,2025-09-08 12:15:31.571428571,,81.34549272486773
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,38,VA0,2025-09-10 03:24:05.857142859,,82.97644510582013
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,39,MT1,2025-09-11 18:32:40.142857146,,84.60739748677253
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 1,A5289200,2025-11-24 18:00:00,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,40,TFR,2025-09-13 09:41:14.428571425,,86.23834986772484
